Total Events,Total Deaths,Total Affected,"Total Damage (USD, original)"
-0.6385648418464714,-0.08866375954740886,-0.18356592949652367,-0.24324894897716148
0.9378921114620048,-0.08074974335522973,-0.018134737213908576,-0.22412829715777063
-0.2444506035193524,-0.07960829871212698,-0.13411698979296122,-0.2145679712480752
-0.6385648418464714,-0.08447846252269875,0.05644725086524402,-0.2862704155707909
-0.2444506035193524,-0.08813108538062757,-0.1915837200243706,-0.24324894897716148
-0.2444506035193524,-0.08645696657074353,-0.1557632869551333,-0.2534466299475033
-0.2444506035193524,-0.08866375954740886,-0.1838799237006477,-0.24324894897716148
-0.6385648418464714,-0.08219557323649324,-0.14045606950408776,-0.3245117192095726
-0.2444506035193524,-0.07138989728178713,-0.18826683452793766,-0.24324894897716148
0.5437778731348857,-0.07801027621178312,-0.17654610005596436,-0.3245117192095726
-0.6385648418464714,-0.08866375954740886,-0.1918018430473174,-0.24324894897716148
0.14966363480776665,-0.09185980454809657,-0.1901527300449202,-0.24324894897716148
-0.6385648418464714,-0.09147932300039566,-0.18608689115996196,-0.24324894897716148
-0.6385648418464714,-0.08866375954740886,-0.18871337546576977,-0.24324894897716148
1.726120588116243,-0.07458594228247485,0.1887037973068143,0.21978950258242053
-0.6385648418464714,-0.08965301157143124,-0.1919273120428178,-0.24324894897716148
-0.6385648418464714,-0.08866375954740886,-0.18227906800421217,-0.33885220807411576
0.14966363480776665,-0.09201199716717695,-0.1898400227022885,-0.24324894897716148
-0.2444506035193524,-0.07367278656799264,-0.18131520874647084,-0.24324894897716148
-0.2444506035193524,-0.09132713038131529,-0.1894018463641564,-0.24324894897716148
0.5437778731348857,-0.07976049133120736,0.07702352269655906,-0.24324894897716148
0.5437778731348857,-0.08303263264143525,-0.04308698154982894,-0.33413418723768107
0.9378921114620048,-0.08386969204637727,-0.10131424692319443,-0.23209523541585014
-0.6385648418464714,12.517679167808062,0.15095242856836355,6.752678874207631
0.5437778731348857,-0.09193590085763675,-0.16391040706295754,-0.24324894897716148
-0.6385648418464714,-0.0917076119290162,-0.18356592949652367,-0.24484233662877739
0.5437778731348857,-0.08303263264143525,-0.18870179371233897,-0.334868738945076
-0.6385648418464714,-0.09178370823855639,-0.19038629540577473,-0.24324894897716148
-0.6385648418464714,-0.08866375954740886,-0.19108441776535373,-0.24324894897716148
-0.6385648418464714,-0.08866375954740886,-0.18356592949652367,-0.24324894897716148
-0.2444506035193524,-0.02238387393790875,-0.12372880039627648,-0.24324894897716148
-0.6385648418464714,-0.08866375954740886,-0.1752013297964988,-0.24324894897716148
0.14966363480776665,-0.08036926180752882,-0.17855360398397033,-0.24324894897716148
-0.2444506035193524,-0.07930391347396624,-0.19192409488908702,-0.33247865746765215
-0.6385648418464714,-0.08866375954740886,-0.1918018430473174,-0.318138168603109
0.14966363480776665,0.34828124983232667,1.853688305919451,4.599056124283574
-0.2444506035193524,-0.030830564296869156,-0.16828766642905515,-0.2528092748868569
-0.6385648418464714,-0.08866375954740886,-0.1848527909888352,-0.24324894897716148
0.5437778731348857,-0.049245871205593636,0.24785824638539025,-0.2126559060661361
-0.6385648418464714,-0.0889681447855696,-0.18356592949652367,-0.24324894897716148
0.14966363480776665,-0.0889681447855696,-0.18202040884425755,-0.29726479036694065
0.14966363480776665,-0.0780863725213233,-0.18465139716528844,-0.2799876880604694
0.5437778731348857,-0.08485894407039966,0.20667224432396006,0.7749257604054018
-0.2444506035193524,-0.08866375954740886,-0.17139736722522594,-0.24324894897716148
-0.6385648418464714,-0.08645696657074353,-0.1844950434939726,-0.24324894897716148
-0.6385648418464714,-0.09178370823855639,-0.1912870984503928,-0.24324894897716148
1.3320063497891237,-0.06469342204225095,0.1664546055354943,1.2067338139933121
-0.2444506035193524,-0.08881595216648923,-0.18936324051938708,-0.24324894897716148
-0.2444506035193524,-0.09147932300039566,-0.18504453335118962,-0.24324894897716148
-0.6385648418464714,-0.08866375954740886,-0.1915444707488551,-0.24324894897716148
-0.2444506035193524,-0.09102274514315456,-0.16521914520063835,-0.24324894897716148
2.9084633030976,-0.08463065514177912,0.0877565909731833,-0.3376842549254813
-0.6385648418464714,-0.09049007097637327,-0.18356592949652367,-0.24324894897716148
0.9378921114620048,0.00911999821172735,1.6421038262150833,3.454095559461933
0.5437778731348857,-0.08737012228522573,-0.17571350067043878,-0.24324894897716148
-0.6385648418464714,-0.08721792966614536,-0.19090104000269933,-0.24324894897716148
-0.2444506035193524,-0.0898813005000518,-0.1919273120428178,-0.24324894897716148
-0.6385648418464714,-0.090794456214534,-0.18897074776423206,-0.24324894897716148
-0.6385648418464714,-0.051757049420419705,-0.18429686682415664,-0.24324894897716148
-0.2444506035193524,-0.06750898549523776,-0.0940003696316419,-0.24324894897716148
0.14966363480776665,-0.06796556335247886,-0.18357686781920834,-0.2161613588996911
0.5437778731348857,-0.08493504037993985,-0.16387244464893433,-0.24324894897716148
-0.6385648418464714,-0.09109884145269474,-0.19191894744311777,-0.24324894897716148
-0.6385648418464714,-0.09132713038131529,-0.18356592949652367,-0.33112427796377863
-0.6385648418464714,-0.09201199716717695,-0.19186940327566376,-0.24324894897716148
-0.2444506035193524,-0.09185980454809657,-0.18654308355898638,-0.24324894897716148
-0.6385648418464714,-0.08866375954740886,-0.19124849260562346,-0.24324894897716148
0.9378921114620048,-0.08737012228522573,-0.17983145744583565,-0.24324894897716148
-0.2444506035193524,-0.08805498907108739,-0.19192795547356395,-0.24324894897716148
-0.2444506035193524,-0.09109884145269474,-0.18678951753476403,-0.24324894897716148
0.14966363480776665,-0.09117493776223493,-0.18809246479572944,-0.24324894897716148
0.5437778731348857,-0.0898813005000518,-0.17432948113545776,-0.24324894897716148
-0.2444506035193524,-0.08965301157143124,-0.19179219158612507,-0.24324894897716148
-0.6385648418464714,-0.09087055252407418,-0.1854576158902216,-0.33885220807411576
-0.6385648418464714,-0.0917076119290162,-0.19161524813093225,-0.24324894897716148
0.14966363480776665,-0.08828327799970793,-0.15384715019308146,-0.13330520101566404
-0.6385648418464714,-0.08866375954740886,-0.17280326340557628,-0.24324894897716148
2.9084633030976,-0.08531552192764078,0.1885146286674445,4.449277685031679
-0.2444506035193524,-0.08950081895235087,-0.1919285989043101,-0.24324894897716148
-0.2444506035193524,-0.08912033740464996,-0.11783304446925126,-0.04407549252517336
1.3320063497891237,-0.08622867764212297,0.08038673520671522,1.1382181449738282
-0.2444506035193524,-0.08242386216511378,-0.1894211492865411,-0.24324894897716148
-0.6385648418464714,-0.09125103407177511,-0.18356592949652367,-0.24324894897716148
-0.6385648418464714,-0.09064226359545363,0.07165988399660465,1.2529420558901734
-0.6385648418464714,-0.08866375954740886,-0.18405043284837896,-0.24324894897716148
-0.6385648418464714,-0.09201199716717695,-0.18661643466404815,-0.24324894897716148
-0.6385648418464714,-0.08866375954740886,-0.17536218748303775,-0.24324894897716148
0.5437778731348857,-0.09147932300039566,-0.17050428534956175,0.03400050240400599
-0.2444506035193524,-0.08957691526189106,-0.1918629689682022,-0.24324894897716148
-0.6385648418464714,-0.09117493776223493,-0.19189514050551,-0.24324894897716148
0.14966363480776665,-0.08409798097499782,-0.13363570359483673,-0.18110683056414117
2.120234826443362,-0.0860764850230426,0.03220213691934883,-0.16835972935121396
-0.2444506035193524,-0.09132713038131529,-0.16383255194267268,-0.24324894897716148
-0.2444506035193524,-0.08622867764212297,-0.18356592949652367,-0.30061090443533406
-0.6385648418464714,-0.09178370823855639,-0.1862072127094931,-0.24324894897716148
-0.6385648418464714,-0.08866375954740886,-0.10612968262742414,-0.24324894897716148
0.14966363480776665,-0.09049007097637327,-0.1741396690653418,-0.3372588204224999
-0.2444506035193524,-0.09125103407177511,-0.18395198794421713,-0.24324894897716148
-0.2444506035193524,-0.09117493776223493,0.000989311423332918,-0.31017123034502947
-0.2444506035193524,-0.08904424109510978,-0.15932338927361311,-0.31973155625472494
-0.6385648418464714,-0.09125103407177511,-0.1906211476281216,-0.24324894897716148
0.5437778731348857,-0.04726736715754886,0.21624198981153467,1.0999768413350464
-0.6385648418464714,0.2229506280196439,1.0949309631149713,1.9699664991173307
-0.6385648418464714,-0.08866375954740886,-0.15975899188876058,-0.24324894897716148
-0.6385648418464714,-0.057616465255013856,-0.16118869500671867,0.057901317178244566
-0.2444506035193524,-0.0884354706187883,-0.17713162203496607,-0.24324894897716148
0.5437778731348857,-0.08965301157143124,-0.11442028779164111,-0.24324894897716148
-0.2444506035193524,-0.0884354706187883,-0.15974998385831438,-0.24324894897716148
-0.6385648418464714,-0.08866375954740886,-0.18356592949652367,-0.24324894897716148
0.9378921114620048,-0.08820718169016775,-0.008198236201025177,-0.24324894897716148
0.14966363480776665,-0.07032454894822456,0.172026072366457,1.7357385143297925
2.120234826443362,-0.08904424109510978,0.041787324744831184,-0.31654478095149313
-0.2444506035193524,-0.08531552192764078,-0.1871028683081419,-0.24324894897716148
-0.6385648418464714,-0.08866375954740886,-0.19092677723254559,-0.24324894897716148
-0.6385648418464714,-0.08866375954740886,-0.17923177999041848,-0.24324894897716148
-0.6385648418464714,-0.08866375954740886,-0.1915766422861629,-0.24324894897716148
2.120234826443362,-0.09003349311913217,-0.08859490793318738,-0.32562709056570377
4.879034494733196,-0.07915172085488588,0.2678689425908344,-0.3085778426934136
-0.2444506035193524,-0.09193590085763675,-0.18372228316783953,-0.24324894897716148
-0.6385648418464714,-0.09125103407177511,-0.1918211459697021,-0.24324894897716148
0.9378921114620048,-0.0828043437128147,-0.1188039814652003,-0.24691374057587806
-0.6385648418464714,-0.08866375954740886,-0.19107540973490755,-0.24324894897716148
-0.6385648418464714,-0.08668525549936408,-0.18485793843480444,-0.3085778426934136
-0.6385648418464714,-0.09140322669085547,-0.19111015499519995,-0.24324894897716148
5.273148733060315,-0.0884354706187883,0.4068969542049479,-0.26077621314493643
-0.6385648418464714,-0.09185980454809657,-0.18549622173499097,-0.24324894897716148
-0.2444506035193524,-0.08965301157143124,-0.19086179072718384,-0.24324894897716148
-0.6385648418464714,-0.07489032752063558,0.13597786481308055,0.9342645255669924
0.9378921114620048,-0.06553048144719298,1.2565884340713829,-0.24165556132554558
-0.6385648418464714,-0.08866375954740886,-0.19032903006936688,-0.24324894897716148
-0.6385648418464714,-0.08866375954740886,-0.19176774121777115,-0.24324894897716148
-0.6385648418464714,-0.09132713038131529,-0.16619201248882587,-0.24324894897716148
3.696691779751838,-0.08866375954740886,0.009828763014020747,-0.2225349095061547
-0.6385648418464714,-0.08866375954740886,11.872395961223948,-0.24324894897716148
0.14966363480776665,-0.09163151561947602,-0.18699091135831078,-0.24324894897716148
-0.2444506035193524,-0.0903378783572929,-0.19044034358845183,-0.24324894897716148
0.9378921114620048,-0.09163151561947602,-0.0957588658608856,-0.24324894897716148
-0.2444506035193524,-0.08752231490430609,-0.19106961885819215,-0.24324894897716148
-0.2444506035193524,-0.09201199716717695,-0.19129353275785435,-0.24324894897716148
0.14966363480776665,-0.09193590085763675,-0.09528144024723803,-0.22890846011261834
-0.6385648418464714,-0.09132713038131529,-0.1845239978775496,-0.24324894897716148
-0.6385648418464714,-0.08866375954740886,-0.1864613678542246,-0.24324894897716148
-0.6385648418464714,-0.08866375954740886,-0.19063658996602934,-0.24324894897716148
-0.2444506035193524,-0.0889681447855696,-0.190891388541507,-0.24324894897716148
1.3320063497891237,-0.08348921049867636,-0.12157588111963931,-0.24324894897716148
1.3320063497891237,-0.08265215109373433,0.14213935763826813,-0.3085778426934136
0.14966363480776665,-0.09193590085763675,-0.19134629407903914,-0.24324894897716148
-0.6385648418464714,-0.08866375954740886,-0.19042425781979794,-0.24324894897716148
-0.6385648418464714,-0.08866375954740886,-0.19158886747033985,-0.24324894897716148
-0.6385648418464714,-0.0903378783572929,-0.191915730289387,-0.24324894897716148
3.302577541424719,-0.08737012228522573,-0.09785709352409953,-0.24324894897716148
-0.2444506035193524,-0.08622867764212297,-0.1915502616255705,-0.24324894897716148
-0.6385648418464714,-0.007697286196653274,1.8702888191702696,6.033105010737889
-0.6385648418464714,-0.08866375954740886,-0.19120087873040792,-0.24324894897716148
-0.2444506035193524,-0.09087055252407418,-0.17822288058044625,-0.24324894897716148
-0.6385648418464714,-0.08615258133258279,-0.19148077110498568,-0.3085778426934136
-0.6385648418464714,-0.09178370823855639,-0.18356592949652367,-0.24324894897716148
-0.6385648418464714,-0.09125103407177511,-0.19153224556467816,-0.24324894897716148
